sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_code_confirm1,code,B_DIAG8_P_STORE,primary,0.0014513494016526061,1.462960196865827,1.415802931063547,-0.0012153496073898928,0.0746834794048003,0.00439997353324366,0.010901349737640974,1008,1007,0
rtpa_v02_code_confirm1,code,B_DIAG8_P_STORE,early,0.001579994052048986,0.783677049816297,1.835786191998599,-0.0008980101960718301,0.0746834794048003,0.004026258644727679,0.00934900051355749,496,496,0
rtpa_v02_code_confirm1,code,B_DIAG8_P_STORE,late,0.0013267248965811134,0.6792831470495301,1.0081479458897982,-0.0015233737717998963,0.02971425957080403,0.004645170130213149,0.011404861425410506,512,511,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_STORE,primary,0.001314542887216443,1.3250592303141746,1.4147417517763416,-0.0022765288945951756,0.040132902056987003,0.00412040937780335,0.007788775829285155,1008,1007,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_STORE,early,0.0014623432365573955,0.7253222453324681,1.8346817423203712,-0.002002459874299589,0.040132902056987003,0.0042159297096846324,0.010905708601766735,496,496,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_STORE,late,0.0011713612987923954,0.5997369849817066,1.007128766825581,-0.002542552836017009,0.019797640407392805,0.0040363620086207004,0.007376986615159213,512,511,0
rtpa_v02_code_confirm1,code,B_U8_P_PRE,primary,0.0021243257058554295,2.1413203115022728,1.4162465415496468,-0.0007717391212900271,0.06503251233939623,0.007312243797055054,0.01516808214938043,1008,1007,0
rtpa_v02_code_confirm1,code,B_U8_P_PRE,early,0.0019787632299442977,0.9814665620523717,1.8327872356353547,-0.0038969665593160396,0.021693603552245963,0.006338023714327701,0.012051916649683919,496,496,0
rtpa_v02_code_confirm1,code,B_U8_P_PRE,late,0.0022653393543943384,1.1598537494499013,1.0119330694038327,0.0022617497422345867,0.06503251233939623,0.008246596364819824,0.01931555888571832,512,511,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_PRE,primary,0.0016769112899525413,1.6903265802721614,1.418244477231569,0.0012261965606321645,0.06867241630291492,0.005277464198095199,0.01334934863262368,1008,1007,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_PRE,early,0.0017211680988248117,0.8536993770171065,1.8373707571102225,0.0006865549155516959,0.06539518600485697,0.004830921572753583,0.008721755425564156,496,496,0
rtpa_v02_code_confirm1,code,B_DAMP8_P_PRE,late,0.0016340375063575293,0.836627203255055,1.0114213171145194,0.0017499974529213702,0.06867241630291492,0.0062034014919514205,0.014299283216878199,512,511,0
rtpa_v02_code_confirm1,code,B_DIAG8_P_PRE,primary,0.0013758743109547886,1.386881305442427,1.4152723598812202,-0.0017459207897165818,0.0552146482748475,0.004418739757664438,0.007468926159849576,1008,1007,0
rtpa_v02_code_confirm1,code,B_DIAG8_P_PRE,early,0.0014933004050435709,0.7406770009016111,1.8348926279566637,-0.001791574238007021,0.0552146482748475,0.0037300024179288856,0.006611456007886001,496,496,0
rtpa_v02_code_confirm1,code,B_DIAG8_P_PRE,late,0.0012621177823062806,0.6462043045408157,1.007969712199381,-0.0017016074622171473,0.015501899286426818,0.004747613809789813,0.008247580027848195,512,511,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_PRE,primary,0.0012968151156720845,1.307189636597461,1.4166734177607279,-0.0003448629102089651,0.019715797585625083,0.004003469829430266,0.009128227533772534,1008,1007,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_PRE,early,0.0013704917248234581,0.6797638955124352,1.837428688461968,0.000744486267297173,0.019715797585625083,0.0038340309973330646,0.009192068265624383,496,496,0
rtpa_v02_code_confirm1,code,B_JOINT8_P_PRE,late,0.0012254409005566908,0.6274257410850258,1.0082690845556104,-0.0014022351059876925,0.015644006721845807,0.004299580499100411,0.008451122018264296,512,511,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,primary,0.0,0.0,1.1692176769907854,0.0,0.0,0.0,0.0,1008,1007,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,early,0.0,0.0,1.4670093306524652,0.0,0.0,0.0,0.0,496,496,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,late,0.0,0.0,0.8801674613035186,0.0,0.0,0.0,0.0,512,511,0
rtpa_v02_code_confirm2,code,B_U8_P_STORE,primary,0.0012713665343675586,1.2815374666424988,1.172229209868922,0.0030115328781366024,0.016899396915436713,0.004946040590652882,0.011439396047735157,1008,1007,0
rtpa_v02_code_confirm2,code,B_U8_P_STORE,early,0.0012117442614434225,0.6010251536759376,1.4697887697201957,0.0027794390677304825,0.01637688864717439,0.004170733675831665,0.008402836208465724,496,496,0
rtpa_v02_code_confirm2,code,B_U8_P_STORE,late,0.001329125611262815,0.6805123129665612,0.8834042750622059,0.003236813758687229,0.016899396915436713,0.00542335089493605,0.011337666322728812,512,511,0
rtpa_v02_code_confirm2,code,B_DAMP8_P_STORE,primary,0.0009548833789713032,0.9625224460030737,1.1716252057444743,0.002407528753688881,0.01619041531951386,0.00367902223389146,0.00815102578681588,1008,1007,0
rtpa_v02_code_confirm2,code,B_DAMP8_P_STORE,early,0.0009355934525714409,0.4640543524754347,1.4696407780559748,0.0026314474035096236,0.01264437715113331,0.0028833949356266296,0.0071672214998932445,496,496,0
rtpa_v02_code_confirm2,code,B_DAMP8_P_STORE,late,0.0009735704951711698,0.49846809352763893,0.8823576443618826,0.002190183058363937,0.01619041531951386,0.003992647172731538,0.008483949504136506,512,511,0
rtpa_v02_code_confirm2,code,B_DIAG8_P_STORE,primary,0.0007685641065129512,0.7747126193650549,1.1714717569418232,0.0022540799510377685,0.009677843565664673,0.0028659046946040026,0.005701831141574188,1008,1007,0
